site_date_key,site_number,sample_date,sample_trip,water_depth,temperature,salinity,lat,lon,notes,extra bags
a4b3f9e22405245f,58,2024-05-12T17:36:00Z,2405,28.5,28.1,23.2,29.11752,-90.184861,,
1687127d24050c74,82,2024-05-12T17:32:00Z,2405,32,29.7,23.6,29.12887,-90.177045,,
a8ddf58e2405021e,83,2024-05-12T19:18:00Z,2405,25.5,27.6,24.7,29.13317767,-90.17571633,,
c338e967240511e8,118,2024-05-12T19:34:00Z,2405,38.5,28.8,23.7,29.12991417,-90.17285567,,
81e38c8824051a86,102,2024-05-12T20:12:00Z,2405,35,29.4,24.7,29.126417,-90.167874,,
12eaf36a24052177,55,2024-05-13T14:57:00Z,2405,35.5,26.9,23.6,29.14608917,-90.2280425,,
573ac9ad240523b7,41,2024-05-13T15:19:00Z,2405,33,26,23.5,29.14171483,-90.23501917,,
e367ad5f24051eaa,23,2024-05-13T15:49:00Z,2405,31,26.3,23,29.14367483,-90.237111,,
3b830f8324050f6c,107,2024-05-13T16:03:00Z,2405,27.5,26.2,23.3,29.1390705,-90.23983,,
15cc752024050f18,104,2024-05-13T16:31:00Z,2405,30.5,26.5,22.9,29.14038667,-90.24185617,,
3539cdfb240513c1,110,2024-05-13T16:55:00Z,2405,22,29.2,24.4,29.13399533,-90.239862,,
e3a5cc9f240525c6,111,2024-05-13T17:40:00Z,2405,33.5,26.8,22.9,29.13811683,-90.2361535,,
cc721c56240500f6,106,2024-05-13T17:59:00Z,2405,40.5,26.8,24,29.13891,-90.23241433,,
faea7119240524ef,26,2024-05-13T18:21:00Z,2405,38.5,26.9,24.3,29.13544133,-90.230227,,
82552d7d24050d6d,36,2024-05-13T19:14:00Z,2405,33,27.4,24,29.13479467,-90.231726,,
9f12d1b624050ee0,24,2024-05-13T19:22:00Z,2405,30.5,27.3,24,29.12885517,-90.2291665,,
819d284624051b32,31,2024-05-13T20:06:00Z,2405,22,28,23.9,29.12885783,-90.22917433,,
863c5e5d240504bf,108,2024-05-13T20:22:00Z,2405,15.5,28,23.6,29.12885917,-90.22918517,,
59504b702405057e,96,2024-05-13T20:56:00Z,2405,27,28.2,24,29.12885917,-90.22918517,,
c579f0a024051b44,20,2024-05-14T13:33:00Z,2405,16.5,24.7,19,29.10583,-90.203202,"100 percent mangrove, mostly pneumatophores",
f1aaf32624051132,3,2024-05-14T13:36:00Z,2405,36.5,24.1,19.1,29.10376583,-90.20068083,,
a51fa39f24050593,90,2024-05-14T15:01:00Z,2405,24,24,22,29.11847083,-90.21841533,,
9a19f820240520ba,19,2024-05-14T15:40:00Z,2405,30.5,25.4,22,29.12077283,-90.223206,,
30373b6524051e83,10,2024-05-14T15:53:00Z,2405,312,26,21.8,29.121996,-90.22471183,,
c1af30d624051546,98,2024-05-14T16:16:00Z,2405,36,26,21.4,29.1265405,-90.22525917,,
4362f6ef24052294,105,2024-05-14T16:35:00Z,2405,44.5,26.2,21.7,29.12666217,-90.2237615,,
1db80efa240515bb,92,2024-05-14T16:59:00Z,2405,24,26.2,22,29.11214483,-90.22158917,,
d363ec0c24051b24,2,2024-05-14T18:06:00Z,2405,22,26.3,21.9,29.11499083,-90.2209285,,
51bca13524051c48,11,2024-05-14T18:25:00Z,2405,25.5,25.7,19.1,29.114068,-90.22461,,
27aca2f124051810,5,2024-05-14T18:59:00Z,2405,20.5,26.7,20.7,29.11203383,-90.22494383,,
56c3eff72405177a,116,2024-05-14T20:06:00Z,2405,30.5,27.1,20.7,29.10351017,-90.23891917,,
443b08e824050b29,91,2024-05-14T20:51:00Z,2405,21.5,27.4,22.2,29.10836367,-90.2320595,,
a0265b8b240507e3,16,2024-05-14T20:56:00Z,2405,33,27.4,22,29.099532,-90.237551,lost origional site data. 100 mangrove w trees,
39554c9d24050381,115,2024-05-14T21:04:00Z,2405,10,28.5,21.3,29.114543,-90.22905667,,
ee2267a82405038c,81,2024-05-15T15:24:00Z,2405,12.5,26.7,21.6,29.13587933,-90.17568467,,
73bdd62a24051268,18,2024-05-21T11:42:00Z,2405,24.5,27.1,22.8,29.12285417,-90.1770185,,
79f3b3d7240502e8,21,2024-05-21T12:44:00Z,2405,23.5,26.6,21,29.13170683,-90.167413,,
8cd55052240514c0,54,2024-05-21T13:09:00Z,2405,18,26.4,20.6,29.13317333,-90.1660425,,
8e85cd9424051426,59,2024-05-21T13:51:00Z,2405,24.5,26.2,20.1,29.12979167,-90.16293283,,
f56bedcb2405240b,85,2024-05-21T13:53:00Z,2405,25.5,27.5,21.3,29.13253517,-90.16105033,,
6fc25f3c240500d8,120,2024-05-21T14:41:00Z,2405,22.5,28,21.1,29.14647733,-90.16664517,,
0fd277982405030f,117,2024-05-21T15:12:00Z,2405,22.5,28.7,21.7,29.14240183,-90.16529183,,
9e898f92240502b0,51,2024-05-21T16:00:00Z,2405,25,28,19.7,29.13883083,-90.162243,,
986a8b0524050b9d,119,2024-05-21T16:29:00Z,2405,13,29.3,21.9,29.1367445,-90.15799633,,
2436a508240518e2,104,2024-05-21T17:22:00Z,2405,16.5,29.2,21.5,29.14084717,-90.16985083,,
4119c20924051ec6,113,2024-05-21T17:46:00Z,2405,12,29.2,21.4,29.13930133,-90.17384567,,
9de4a48024050a0a,60,2024-05-21T18:16:00Z,2405,10.5,30,21,29.14335583,-90.17135533,,
8956551924051dac,33,2024-05-21T18:40:00Z,2405,18,30.1,20.9,29.14337983,-90.17133283,,
d2a96f0124050e4b,15,2024-05-22T13:10:00Z,2405,30,27.3,22.4,29.16028683,-90.2287345,,
85baa6cf24050c1f,27,2024-05-22T13:47:00Z,2405,29.5,27.3,20.3,29.147592,-90.23785,,
a4989c2624050aae,40,2024-05-22T14:04:00Z,2405,22.5,27.5,20.2,29.154377,-90.24952117,,
41290f5724050854,32,2024-05-22T14:30:00Z,2405,25.5,27.6,21,29.15711583,-90.25086733,,
a03c227124051555,22,2024-05-22T14:46:00Z,2405,20.5,27.7,20.4,29.160983,-90.2485985,,
f835b47824051347,30,2024-05-22T15:27:00Z,2405,22,28.1,19.2,29.16060333,-90.2457715,,
342fbba6240507a8,34,2024-05-22T15:46:00Z,2405,20.5,28.1,23,29.1567655,-90.19221583,,
e1452f1024050769,112,2024-05-22T16:29:00Z,2405,21,29.2,23.1,29.15978983,-90.1910145,,
ff9b87e22405171f,38,2024-05-22T16:53:00Z,2405,12.5,30.6,23.1,29.1562825,-90.1908095,,
286cc7fc,2,2022-09-24T12:01:00Z,2209,35,,,29.11478,-90.2209,,
10ef41b4,3,2022-09-28T10:58:00Z,2209,40,22.8,25.1,29.10319,-90.2005,,""
5e4ec044,4,2022-09-28T09:43:00Z,2209,62,23.3,18.6,29.10649,-90.2055,,""
8ffb0cbc,5,2022-09-25T12:21:00Z,2209,,31,25.1,29.11165,-90.2249,,""
983b722b,10,2022-09-25T15:24:00Z,2209,40,33.1,25.6,29.12191,-90.2248,,""
af8bc475,11,2022-09-25T10:38:00Z,2209,38,,25.2,29.11395,-90.2245,,""
a7b5df75,13,2022-09-26T11:50:00Z,2209,51,31.1,17.6,29.12913,-90.1568,,""
05244dc3,15,2022-09-29T09:30:00Z,2209,19,20.2,20.4,29.1597,-90.229,,""
ed3286d6,23,2022-09-27T09:54:00Z,2209,,,,29.1437,-90.2369,,""
41bfdee8,96,2022-09-27T11:22:00Z,2209,19,27.2,21,29.12095,-90.2302,,""
7b9bfc39,18,2022-09-26T16:12:00Z,2209,53,32.5,25.1,29.12279,-90.1768,,""
9db4ff53,19,2022-09-25T14:58:00Z,2209,48,32.5,25.1,29.12095,-90.2227,,""
39a22c63,20,2022-09-28T10:26:00Z,2209,32,23.4,22.3,29.1052,-90.2028,,""
3aee966b,21,2022-09-26T14:06:00Z,2209,45.5,31.5,25,29.13174,-90.1674,,""
f7bb8461,22,2022-09-29T10:52:00Z,2209,26,21.6,21.5,29.16101,-90.2486,,""
f51955eb,108,2022-09-27T11:50:00Z,2209,35,27,24.6,29.1256,-90.2312,,""
e49684aa,31,2022-09-27T12:09:00Z,2209,26,26.4,24.2,29.12894,-90.2296,,""
da248fc9,24,2022-09-27T12:39:00Z,2209,16,27.1,24.2,29.13516,-90.2337,,""
22dc2bdf,30,2022-09-29T11:29:00Z,2209,29.5,23.7,20.2,29.16055,-90.2458,,""
4fc39c30,36,2022-09-27T13:52:00Z,2209,30,28.6,24.5,29.13484,-90.2315,,""
0d2059f3,32,2022-09-29T11:51:00Z,2209,19,23.6,24.3,29.156927,-90.250725,,""
ab165e76,33,2022-09-23T13:21:00Z,2209,20,,24,29.14373,-90.1737,,
7b9ead19,34,2022-09-28T15:08:00Z,2209,45,26.4,24.8,29.15666,-90.192,,""
80e424b0,26,2022-09-27T14:18:00Z,2209,41,29.5,24.9,29.13526,-90.2299,,""
54b8fc49,38,2022-09-28T14:25:00Z,2209,43,24.4,22.1,29.15558,-90.191,,""
124ad590,43,2022-09-26T13:14:00Z,2209,68,31.5,24.3,29.1238,-90.1708,,""
618bb6ab,45,2022-09-26T12:21:00Z,2209,54,34.5,24.8,29.1219,-90.171,,""
68bb7209,51,2022-09-26T10:26:00Z,2209,55.5,33.1,23.7,29.13863,-90.1624,,""
9595edb4,54,2022-09-26T14:30:00Z,2209,34,32.8,21.4,29.13335,-90.166,,""
5f2537fb,55,2022-09-28T13:23:00Z,2209,17,26,21.7,29.146,-90.2279,,""
77d490c5,58,2022-09-29T08:36:00Z,2209,29,19.5,23.6,29.11672,-90.1861,,""
56dad4fd,59,2022-09-26T15:01:00Z,2209,38,,25.2,29.12987,-90.1626,,""
4055fb57,60,2022-09-23T15:30:00Z,2209,58,,24,29.1435,-90.1711,,
4cb86d8e,81,2022-09-28T17:24:00Z,2209,38,23.9,23.2,29.1363,-90.176,,""
f3f8f037,82,2022-09-28T18:34:00Z,2209,56.5,24.4,23.8,29.12907,-90.1771,,""
b7d69942,83,2022-09-28T17:56:00Z,2209,29.5,24.4,23.9,29.13289,-90.1752,,""
a479a49f,84,2022-09-25T13:30:00Z,2209,45,,25.1,29.11034,-90.2234,,""
ac62b9c3,85,2022-09-26T11:28:00Z,2209,46,29.8,21.5,29.1336,-90.1616,,""
a45372ac,87,2022-09-28T11:30:00Z,2209,17,26,21.7,29.10404,-90.2012,,""
b5a61449,90,2022-09-25T14:30:00Z,2209,43,32.1,25.2,29.11879,-90.2184,,""
b11be902,106,2022-09-27T14:46:00Z,2209,47,30,25.1,29.13897,-90.2321,,""
52a8182e,92,2022-09-24T11:50:00Z,2209,59,,24.5,29.11327,-90.2214,,
d0ca5be3,95,2022-09-26T15:36:00Z,2209,51.5,32.5,25,29.12709,-90.1637,,""
9293ae26,111,2022-09-27T15:14:00Z,2209,27,28.5,24.9,29.13808,-90.2361,,""
79464cf2,98,2022-09-25T16:29:00Z,2209,,33.1,23.3,29.12692,-90.2252,,""
c5ec5e0f,102,2022-09-26T13:36:00Z,2209,55,31.9,21.6,29.12664,-90.1683,,""
9820d7df,104,2022-09-28T16:49:00Z,2209,18,24.5,23.4,29.14081,-90.1695,,""
1f36d182,105,2022-09-25T15:52:00Z,2209,26,32.9,24.4,29.12694,-90.2239,,""
91daed95,110,2022-09-27T15:37:00Z,2209,28,28.8,25,29.13404,-90.2399,,""
5925e1f7,91,2022-09-27T16:08:00Z,2209,33,28,24.3,29.10804,-90.2317,,""
3096ab9a,16,2022-09-27T16:40:00Z,2209,23,26.9,23.9,29.09944,-90.2381,,""
90927007,17,2022-09-27T17:37:00Z,2209,52,29,24.9,29.1148,-90.1831,,""
bac32223,112,2022-09-28T15:32:00Z,2209,28.5,26.6,24.4,29.15986,-90.1909,,""
6abec928,113,2022-09-23T11:21:00Z,2209,24,,23.1,29.1393,-90.1739,,
5e7284c4,58,2023-05-22T11:05:00Z,2305,57,29,26,29.116632,-90.18614,,""
f80cb26d,82,2023-05-22T11:49:00Z,2305,51,29.3,26.5,29.128892,-90.177249,,""
b535c803,83,2023-05-22T12:15:00Z,2305,52,30.1,26.5,29.133029,-90.175168,,""
d7cf5c9c,33,2023-05-22T12:52:00Z,2305,38,29.9,26,29.144001,-90.173461,,""
2b88fd7a,60,2023-05-22T13:27:00Z,2305,12,29.7,25.8,29.14339,-90.170797,,""
20394eaa,113,2023-05-22T14:10:00Z,2305,23,30.7,27.6,29.139247,-90.173879,,""
af0958b0,104,2023-05-22T14:50:00Z,2305,12,30.4,26.8,29.140683,-90.169424,,""
4e2d6c37,81,2023-05-22T15:21:00Z,2305,32,31.4,27,29.136319,-90.176108,,""
6698a909,118,2023-05-22T15:49:00Z,2305,24,32.1,27,29.130167,-90.172032,,""
8245cd67,102,2023-05-22T16:32:00Z,2305,31,27.9,31.4,29.126512,-90.168268,,""
9e1cdaf1,112,2023-05-23T07:23:00Z,2305,22,28.3,24.9,29.159676,-90.190797,,""
37ac5a6c,34,2023-05-23T07:54:00Z,2305,17,29.1,25.7,29.156353,-90.192464,,""
678608b2,38,2023-05-23T08:26:00Z,2305,15,29.6,25.8,29.155631,-90.191012,,""
3b3a7c1b,15,2023-05-23T09:15:00Z,2305,24,29.9,26.9,29.160137,-90.228787,,""
374655fa,40,2023-05-23T09:51:00Z,2305,27,29.1,24.3,29.154026,-90.249132,,""
54b9a040,30,2023-05-23T10:38:00Z,2305,36,30.3,24.1,29.160368,-90.245798,,""
dd8a6297,22,2023-05-23T11:18:00Z,2305,22,30.2,24.41,29.16107,-90.248397,,""
247f3db1,32,2023-05-23T11:43:00Z,2305,29,31,24,29.15702,-90.250835,,""
4c35323d,27,2023-05-23T12:50:00Z,2305,24,30.4,24.6,29.147617,-90.237777,,""
9ff13473,103,2023-05-23T13:33:00Z,2305,17,31.2,24.9,29.140159,-90.241836,,""
bed472cd,107,2023-05-23T13:53:00Z,2305,24,31.1,25.3,29.139386,-90.240494,,""
24d79e87,110,2023-05-23T14:16:00Z,2305,23,32.2,25.1,29.13417,-90.23979,,""
7db914ca,111,2023-05-23T14:43:00Z,2305,18,31.9,24.8,29.138105,-90.236012,,""
d6f7ce11,106,2023-05-23T15:07:00Z,2305,26,31.8,24.5, 29.1394790,-90.2319570,,""
50b7b18c,23,2023-05-23T15:48:00Z,2305,13,31.2,24.8,29.143785,-90.237111,,""
ea9ac0fa,105,2023-05-24T08:37:00Z,2305,12,28.5,26.2,29.126776,-90.223948,,""
63a3df23,98,2023-05-24T09:02:00Z,2305,13,28.4,26.2,29.127152,-90.225296,,""
d1bcf46e,10,2023-05-24T09:40:00Z,2305,12,29.2,27,29.122041,-90.224671,,""
d752dd6f,19,2023-05-24T10:06:00Z,2305,15,28.4,26.7,29.121062,-90.222685,,""
0c3fbfbc,90,2023-05-24T10:45:00Z,2305,13,29,27.9,29.118469,-90.218293,,""
fe72a3c7,92,2023-05-24T11:11:00Z,2305,26,29.4,28,29.113656,-90.221355,,""
ee11e44c,2,2023-05-24T11:39:00Z,2305,20,29.7,27.9,29.114977,-90.220903,,""
af921f86,11,2023-05-24T12:32:00Z,2305,23,29.7,27.8,29.114186,-90.22483,,""
d3be6cc6,5,2023-05-24T12:55:00Z,2305,37,30.3,28,29.111805,-90.224848,,""
193eb976,84,2023-05-24T13:36:00Z,2305,36,31,27.8,29.11038,-90.223384,,""
1d4d13d6,115,2023-05-24T14:18:00Z,2305,20,30.7,27.9,29.114832,-90.22937,,""
b8c832ff,91,2023-05-24T14:47:00Z,2305,28,29.9,24,29.108111,-90.231771,,""
2d263ded,116,2023-05-24T15:25:00Z,2305,28,30.1,22.9,29.103519,-90.239026,,""
e52d015b,16,2023-05-24T15:54:00Z,2305,37,29.8,23,29.100137,-90.237922,,""
a9ba5c65,96,2023-05-24T16:38:00Z,2305,23,31.3,27.3,29.120959,-90.229985,,""
cf7f89bc,18,2023-06-06T09:31:00Z,2305,36,28.3,22.3,29.12255,-90.176941,,""
af3210f8,95,2023-06-06T10:29:00Z,2305,34,29.1,21.8,29.127228,-90.163603,,""
a5f74710,21,2023-06-06T12:03:00Z,2305,47,29.5,22.2,29.131331,-90.167367,,""
be89f224,54,2023-06-06T12:37:00Z,2305,39,30.1,22.1,29.133218,-90.165944,,""
ef868899,59,2023-06-06T13:08:00Z,2305,34,28.9,22.4,29.129657,-90.162832,,""
d345e4c2,85,2023-06-06T14:06:00Z,2305,38,30.1,22.4,29.133796,-90.161754,,""
4348c65d,117,2023-06-06T14:51:00Z,2305,46,29.7,22.3,29.141882,-90.164534,,""
b4128c10,51,2023-06-06T15:30:00Z,2305,51,30.5,22.5,29.138785,-90.162271,,""
6b129e65,119,2023-06-06T16:30:00Z,2305,34,30.4,22.2,29.136437,-90.158422,,"""5B95897E"
0841d3e0,120,2023-06-06T17:18:00Z,2305,29,30.1,18.5,29.146432,-90.166626,,"""C980D647"
ac86e6a9,20,2023-06-07T08:05:00Z,2305,29,28.2,21.8,29.105618,-90.202946,,""
72d871a7,3,2023-06-07T08:33:00Z,2305,36,27.3,22.3,29.10317,-90.200413,,""
3376c6c4,87,2023-06-07T09:05:00Z,2305,41,28.1,21.9,29.104092,-90.201375,,""
34a88f19,55,2023-06-07T09:45:00Z,2305,45,29,22.3,29.146097,-90.228216,,""
5493bacb,41,2023-06-07T10:30:00Z,2305,43,28.4,21.1,29.142246,-90.234622,,""
f666664f,26,2023-06-07T11:05:00Z,2305,30,28.9,20.9,29.13516,-90.229626,,""
974a79c4,36,2023-06-07T11:40:00Z,2305,46,29.3,21.1,29.1348007,-90.2318825,,""
111993b4,24,2023-06-07T12:17:00Z,2305,37,30.5,21.7,29.134911,-90.233917,,""
d86dc835,31,2023-06-07T13:02:00Z,2305,45,29.8,21.6,29.12869,-90.229702,,""
bafe323a,108,2023-06-07T13:35:00Z,2305,37,31.2,21.8,29.125568,-90.230852,,""
f2991b14,58,2023-08-29T07:48:00Z,2308,36,29.9,30,29.1166199,90.1860572,,""
f753ab42,33,2023-08-29T08:25:00Z,2308,43,30.4,30.4,29.143882,-90.173724,,""
6c2b31b8,60,2023-08-29T09:09:00Z,2308,28,30.1,31.1,29.143165,-90.171354,,""
5445998d,113,2023-08-29T09:40:00Z,2308,40,31.6,30.6,29.139637,-90.173824,,""
d6f84526,81,2023-08-29T10:50:00Z,2308,48,30.7,30.2,29.136105,-90.175812,,""
6b75c051,104,2023-08-29T11:21:00Z,2308,22,31.8,30.9,29.140776,-90.169611,,""
3dc44fa2,120,2023-08-29T12:16:00Z,2308,43,32.6,30.8,29.146565,-90.167011,,""
a0a0a7d8,117,2023-08-29T12:58:00Z,2308,24,32.2,31.7,29.141798,-90.164404,,""
d5d14392,51,2023-08-29T13:35:00Z,2308,44,32.6,31.3,29.139011,-90.162599,,""
4ea6871a,119,2023-08-29T14:41:00Z,2308,23.5,33.8,30.9,29.136361,-90.158702,,""
f9419a4f,20,2023-08-30T06:58:00Z,2308,36.5,30.8,30.4,29.105718,-90.203237,,""
2e2b516a,87,2023-08-30T08:05:00Z,2308,47,30.4,30.6,29.104202,-90.20155,,""
121b1ba9,3,2023-08-30T08:35:00Z,2308,53,30.3,30.7,29.103504,-90.20043,,""
7418128e,2,2023-08-30T09:51:00Z,2308,41,30.7,31,29.114987,-90.220918,,""
f4ee8590,92,2023-08-30T10:29:00Z,2308,63,30.9,31.1,29.113535,-90.221375,,""
03d1161c,96,2023-08-30T11:25:00Z,2308,47.5,31.3,31.4,29.121268,-90.230491,,""
1fb154c1,108,2023-08-30T12:32:00Z,2308,48,32.1,31.2,29.125411,-90.230941,,""
36c3a7a9,31,2023-08-30T13:00:00Z,2308,42,32.2,31.2,29.128719,-90.229566,,""
83e078b1,110,2023-08-30T13:41:00Z,2308,42,32.2,31,29.134081,-90.239978,,""
a0e38e4c,24,2023-08-30T14:07:00Z,2308,27,32.1,31.1,29.134803,-90.23351,,""
615ef5cf,36,2023-08-30T14:28:00Z,2308,31,33.1,31,29.134692,-90.231701,,""
a8c75edf,26,2023-08-30T14:54:00Z,2308,29,32.5,31.3,29.135252,-90.229739,,""
9ce7cf99,106,2023-08-30T15:24:00Z,2308,30.5,33.3,30.7,29.138951,-90.232179,,""
9eedaafa,111,2023-08-30T15:56:00Z,2308,17,33.1,31.2,29.13808,-90.23595,,""
aa0d5a97,115,2023-08-31T07:27:00Z,2308,21,30.8,31.1,29.11449,-90.229143,,""
5d20023f,91,2023-08-31T08:07:00Z,2308,27,29.9,32.2,29.108024,-90.231616,,""
c52a6a0a,116,2023-08-31T08:46:00Z,2308,35,30.5,32.2,29.103422,-90.23901,,""
7cffd5ac,16,2023-08-31T09:30:00Z,2308,29,29.8,33.1,29.099624,-90.238177,,""
7268c73c,5,2023-08-31T10:54:00Z,2308,28,31.1,30.3,29.112037,-90.224969,,""
6d4ba637,11,2023-08-31T11:26:00Z,2308,33,31,30.9,29.114191,-90.224753,,""
e45d7b11,18,2023-09-11T10:28:00Z,2308,22,31.5,28.5,29.122696,-90.177061,,""
1179b291,102,2023-09-11T10:54:00Z,2308,27.5,31.6,28.4,29.12649,-90.16805,,""
7d23bc66,95,2023-09-11T11:17:00Z,2308,18,31.6,28.6,29.127239,-90.163634,,""
d99d953e,21,2023-09-11T11:36:00Z,2308,23.5,31.6,29.7,29.131501,-90.167251,,""
329c5f18,54,2023-09-11T11:57:00Z,2308,18.5,31.9,29,29.133172,-90.166014,,""
d5f490e0,59,2023-09-11T12:25:00Z,2308,10,31.7,30.3,29.129374,-90.16269,,""
a92f11bc,118,2023-09-11T13:03:00Z,2308,18,33.7,29.3,29.129858,-90.172766,,""
e482fac6,83,2023-09-11T13:22:00Z,2308,23.5,32.8,30.4,29.133062,-90.175566,,""
8b7f944b,82,2023-09-11T13:45:00Z,2308,19.5,33.2,29.9,29.129261,-90.177062,,""
80c768a6,85,2023-09-12T07:11:00Z,2308,19.5,30.7,28.5,29.13395,-90.161785,,""
2ce5c7ea,84,2023-09-12T07:43:00Z,2308,28.5,29.4,28.9,29.110368,-90.223609,,""
deef00a6,90,2023-09-12T08:33:00Z,2308,24,31.1,27.9,29.117988,-90.218088,,""
1ee4bcab,19,2023-09-12T09:01:00Z,2308,37.5,30.6,28.7,29.120818,-90.222539,,""
b985696c,10,2023-09-12T09:55:00Z,2308,23,31.2,28.8,29.122902,-90.223937,,""
2910dc8f,98,2023-09-12T10:18:00Z,2308,26,30.3,29.7,29.126615,-90.225307,,""
8772d256,105,2023-09-12T10:49:00Z,2308,15.5,30.5,30.1,29.126788,-90.223905,,""
f20ca0b1,41,2023-09-12T11:13:00Z,2308,16.5,30.8,29.8,29.142357,-90.234688,,""
0505ed01,23,2023-09-12T12:06:00Z,2308,19.5,31.8,30.4,29.143578,-90.236915,,""
4217433d,103,2023-09-12T12:37:00Z,2308,16.99,32.7,30.1,29.14001,-90.241753,,""
e5aa2c1a,34,2023-09-13T06:53:00Z,2308,16,29.9,30.8,29.156738,-90.192273,,""
8b96e187,112,2023-09-13T07:14:00Z,2308,20,29.6,30.7,29.159781,-90.190689,,""
1276dccd,38,2023-09-13T07:41:00Z,2308,10,29.5,30.8,29.155532,-90.190943,,""
5ef66f4c,15,2023-09-13T08:12:00Z,2308,18,31,29.6,29.160137,-90.22876,,""
5ee6731e,27,2023-09-13T08:48:00Z,2308,19.5,29.9,29.5,29.147592,-90.23785,,""
9a6cf86a,40,2023-09-13T09:16:00Z,2308,20.5,30.1,29.7,29.153938,-90.249495,,""
5653960b,30,2023-09-13T09:47:00Z,2308,12,30.1,29.6,29.160722,-90.245689,,"01dec90bc"
7cd62228,22,2023-09-13T10:06:00Z,2308,16,30.4,29.9,29.160721,-90.248725,,""
d46f5314,32,2023-09-13T10:52:00Z,2308,11,30.7,29.9,29.15694,-90.250491,,""
d2584dd2,107,2023-09-13T11:12:00Z,2308,21,31.3,30.5,29.13888,-90.239958,,""
f25e59ca,55,2023-09-13T11:59:00Z,2308,13,32.5,30.8,29.146073,-90.228255,,""
56c3eff7,116,2024-07-17T14:55:00Z,,,,,,,,
846b89fb2405cfc,84,2024-05-22T04:00:00Z,2405,,,,,,"Not originally recorded during sampling trip, but bag was collected.",
